millis,temp,humidity,distance_cm,soil_raw
32,nan,nan,314.6,98
2077,33.3,73.4,-1.0,98
4110,33.3,73.4,314.9,96
6156,33.3,73.5,-1.0,1023
8188,33.3,73.4,316.9,1023
10237,33.3,73.5,-1.0,107
12270,33.2,73.4,315.8,98
14302,33.3,73.5,314.7,96
16335,33.3,73.4,316.1,1023
18367,33.3,73.5,-1.0,107
20399,33.2,73.4,315.3,98
22431,33.3,73.4,316.0,96
24463,33.3,73.5,-1.0,1023
26495,33.3,73.4,315.7,107
28527,33.2,73.4,314.8,98
30559,33.3,73.5,-1.0,96
32591,33.3,73.4,316.2,1023
34623,33.3,73.5,315.1,107
36655,33.2,73.4,-1.0,98
38687,33.3,73.4,314.9,96
40619,33.3,73.5,316.4,1023
42651,33.2,73.4,-1.0,107
44683,33.3,73.5,315.5,98
46715,33.3,73.4,314.7,96
48747,33.2,73.4,-1.0,1023
50779,33.3,73.5,316.0,107
52811,33.3,73.4,315.8,98
54843,33.2,73.4,-1.0,96
56875,33.3,73.5,314.9,1023
58907,33.3,73.4,316.1,107
